comment,network,quality,satisfaction
Stream kept freezing every few minutes.,Moderate,480p,0.15
Great commentary and visuals!,Very Poor,360p,1.0
Great commentary and visuals!,Moderate,480p,0.76
"Nothing special, just another game.",Good,720p,0.51
Mediocre experience.,Moderate,1080p,0.5
"Nothing special, just another game.",Moderate,360p,0.64
"Nothing special, just another game.",Good,480p,0.73
"Nothing special, just another game.",Very Poor,480p,0.71
I’m having a blast watching this!,Poor,360p,0.98
"Too much buffering, not enjoyable.",Good,720p,0.36
Stream kept freezing every few minutes.,Poor,480p,0.11
Stream kept freezing every few minutes.,Excellent,720p,0.02
"Too much buffering, not enjoyable.",Very Poor,1080p,0.29
"Loved the stream quality, keep it up!",Good,360p,0.89
I’m having a blast watching this!,Moderate,360p,0.98
"Loved the stream quality, keep it up!",Moderate,720p,0.87
"Nothing special, just another game.",Poor,480p,0.89
Stream is okay.,Very Poor,360p,0.69
Stream kept freezing every few minutes.,Excellent,360p,0.33
Stream is okay.,Excellent,360p,0.57
Network is causing delays.,Poor,1080p,0.16
Audio was off sync. Please fix!,Poor,1080p,0.12
"Everything is perfect, thanks!",Excellent,1080p,0.83
"Loved the stream quality, keep it up!",Poor,1080p,0.84
"Everything is perfect, thanks!",Moderate,720p,0.86
Audio was off sync. Please fix!,Good,720p,0.06
Decent audio but poor video.,Moderate,1080p,0.69
"Too much buffering, not enjoyable.",Poor,360p,0.36
Stream kept freezing every few minutes.,Excellent,720p,0.18
"Everything is perfect, thanks!",Poor,480p,1.0
Network is causing delays.,Moderate,1080p,0.21
Decent audio but poor video.,Excellent,480p,0.51
Decent audio but poor video.,Very Poor,360p,0.74
"Could be better, could be worse.",Poor,720p,0.4
"Loved the stream quality, keep it up!",Good,360p,1.0
Amazing gameplay and no lag at all!,Excellent,720p,0.98
Network is causing delays.,Good,480p,0.07
Network is causing delays.,Excellent,360p,0.34
Audio was off sync. Please fix!,Very Poor,360p,0.31
"Everything is perfect, thanks!",Good,480p,0.83
I’m having a blast watching this!,Poor,360p,0.83
Stream kept freezing every few minutes.,Poor,1080p,0.29
Network is causing delays.,Poor,720p,0.27
Great commentary and visuals!,Moderate,720p,0.84
"Too much buffering, not enjoyable.",Excellent,360p,0.21
Network is causing delays.,Excellent,480p,0.16
Network is causing delays.,Poor,1080p,0.15
Great commentary and visuals!,Excellent,360p,0.74
"Everything is perfect, thanks!",Good,720p,1.0
"Nothing special, just another game.",Poor,720p,0.75
The video quality is poor.,Excellent,480p,0.3
The video quality is poor.,Excellent,1080p,0.31
I’m having a blast watching this!,Poor,720p,0.97
Decent audio but poor video.,Good,360p,0.81
Great commentary and visuals!,Excellent,1080p,0.89
"Loved the stream quality, keep it up!",Moderate,480p,0.87
"Loved the stream quality, keep it up!",Very Poor,480p,0.92
I’m having a blast watching this!,Very Poor,480p,0.85
I’m having a blast watching this!,Very Poor,360p,0.96
Stream is okay.,Moderate,360p,0.58
"Too much buffering, not enjoyable.",Very Poor,480p,0.23
I’m having a blast watching this!,Moderate,1080p,0.95
Mediocre experience.,Excellent,1080p,0.87
Stream kept freezing every few minutes.,Moderate,360p,0.38
Audio was off sync. Please fix!,Very Poor,1080p,0.38
Network is causing delays.,Poor,1080p,0.32
"Everything is perfect, thanks!",Poor,1080p,0.87
"Nothing special, just another game.",Poor,720p,0.4
Stream is okay.,Very Poor,480p,0.66
Stream is okay.,Good,360p,0.66
Amazing gameplay and no lag at all!,Poor,1080p,0.82
"Everything is perfect, thanks!",Poor,480p,0.87
"Everything is perfect, thanks!",Poor,360p,0.93
Network is causing delays.,Excellent,480p,0.33
Amazing gameplay and no lag at all!,Poor,1080p,0.93
The video quality is poor.,Moderate,720p,0.29
The video quality is poor.,Very Poor,1080p,0.05
Stream is okay.,Good,720p,0.77
I’m having a blast watching this!,Excellent,1080p,0.86
"Too much buffering, not enjoyable.",Excellent,720p,0.44
"Too much buffering, not enjoyable.",Poor,360p,0.1
Great commentary and visuals!,Excellent,360p,0.84
I’m having a blast watching this!,Poor,360p,0.88
"Loved the stream quality, keep it up!",Good,360p,0.86
Amazing gameplay and no lag at all!,Excellent,1080p,1.0
Network is causing delays.,Moderate,480p,0.28
Network is causing delays.,Very Poor,1080p,0.09
"Everything is perfect, thanks!",Excellent,360p,0.84
Audio was off sync. Please fix!,Excellent,720p,0.15
Stream kept freezing every few minutes.,Poor,480p,0.33
The video quality is poor.,Very Poor,360p,0.28
Amazing gameplay and no lag at all!,Good,720p,0.93
Amazing gameplay and no lag at all!,Good,1080p,0.81
"Too much buffering, not enjoyable.",Poor,1080p,0.41
I’m having a blast watching this!,Good,480p,1.0
I’m having a blast watching this!,Poor,1080p,0.81
Mediocre experience.,Moderate,1080p,0.48
Stream is okay.,Excellent,360p,0.55
Network is causing delays.,Poor,1080p,0.09
Network is causing delays.,Very Poor,720p,0.35
Mediocre experience.,Excellent,1080p,0.58
I’m having a blast watching this!,Good,720p,0.91
Audio was off sync. Please fix!,Very Poor,480p,0.17
Network is causing delays.,Poor,720p,0.15
The video quality is poor.,Excellent,360p,0.39
"Everything is perfect, thanks!",Very Poor,720p,0.91
Great commentary and visuals!,Moderate,360p,0.96
I’m having a blast watching this!,Excellent,1080p,0.95
The video quality is poor.,Very Poor,720p,0.26
"Loved the stream quality, keep it up!",Very Poor,480p,0.85
Stream is okay.,Very Poor,720p,0.56
Amazing gameplay and no lag at all!,Moderate,1080p,0.95
The video quality is poor.,Moderate,480p,0.07
"Nothing special, just another game.",Very Poor,1080p,0.73
"Nothing special, just another game.",Poor,1080p,0.68
"Too much buffering, not enjoyable.",Excellent,1080p,0.21
"Everything is perfect, thanks!",Excellent,1080p,0.94
Mediocre experience.,Excellent,360p,0.62
The video quality is poor.,Excellent,720p,0.18
Amazing gameplay and no lag at all!,Very Poor,480p,0.9
"Could be better, could be worse.",Moderate,720p,0.74
Amazing gameplay and no lag at all!,Good,360p,0.96
Great commentary and visuals!,Poor,480p,1.0
Amazing gameplay and no lag at all!,Poor,480p,0.9
The video quality is poor.,Excellent,1080p,0.47
Amazing gameplay and no lag at all!,Excellent,1080p,0.87
Decent audio but poor video.,Poor,360p,0.46
Stream kept freezing every few minutes.,Good,480p,0.35
Great commentary and visuals!,Moderate,720p,0.91
"Too much buffering, not enjoyable.",Good,480p,0.38
Audio was off sync. Please fix!,Moderate,360p,0.14
Network is causing delays.,Moderate,720p,0.04
"Loved the stream quality, keep it up!",Very Poor,1080p,0.99
"Everything is perfect, thanks!",Good,1080p,0.92
"Loved the stream quality, keep it up!",Poor,1080p,0.81
Stream is okay.,Good,480p,0.54
Audio was off sync. Please fix!,Excellent,720p,0.01
The video quality is poor.,Good,1080p,0.02
Amazing gameplay and no lag at all!,Moderate,360p,1.0
Audio was off sync. Please fix!,Very Poor,360p,0.38
Great commentary and visuals!,Good,480p,0.92
Great commentary and visuals!,Good,480p,0.72
Audio was off sync. Please fix!,Good,1080p,0.06
"Loved the stream quality, keep it up!",Very Poor,1080p,0.83
"Nothing special, just another game.",Moderate,360p,0.45
Audio was off sync. Please fix!,Excellent,720p,0.13
Mediocre experience.,Good,480p,0.64
Network is causing delays.,Poor,480p,0.25
"Loved the stream quality, keep it up!",Good,1080p,0.89
"Loved the stream quality, keep it up!",Moderate,1080p,0.92
I’m having a blast watching this!,Very Poor,1080p,0.94
Great commentary and visuals!,Excellent,360p,0.87
"Could be better, could be worse.",Good,1080p,0.64
"Loved the stream quality, keep it up!",Very Poor,480p,0.96
Great commentary and visuals!,Moderate,480p,0.84
I’m having a blast watching this!,Moderate,1080p,0.99
"Everything is perfect, thanks!",Good,360p,0.82
The video quality is poor.,Good,480p,0.28
"Too much buffering, not enjoyable.",Moderate,480p,0.09
Decent audio but poor video.,Moderate,480p,0.73
"Too much buffering, not enjoyable.",Excellent,360p,0.21
The video quality is poor.,Very Poor,720p,0.0
The video quality is poor.,Excellent,360p,0.01
"Everything is perfect, thanks!",Very Poor,360p,0.79
"Loved the stream quality, keep it up!",Excellent,1080p,0.83
Great commentary and visuals!,Poor,480p,0.97
Amazing gameplay and no lag at all!,Poor,720p,0.91
Stream kept freezing every few minutes.,Excellent,1080p,0.05
Stream kept freezing every few minutes.,Very Poor,720p,0.28
Stream kept freezing every few minutes.,Excellent,720p,0.32
Amazing gameplay and no lag at all!,Very Poor,480p,0.89
Great commentary and visuals!,Excellent,1080p,0.83
Network is causing delays.,Good,480p,0.23
I’m having a blast watching this!,Good,360p,0.88
Network is causing delays.,Very Poor,480p,0.11
The video quality is poor.,Poor,1080p,0.28
The video quality is poor.,Poor,480p,0.1
Network is causing delays.,Poor,360p,0.26
Great commentary and visuals!,Poor,1080p,1.0
Network is causing delays.,Moderate,1080p,0.35
"Everything is perfect, thanks!",Moderate,720p,0.75
Stream is okay.,Very Poor,1080p,0.55
"Loved the stream quality, keep it up!",Good,360p,0.82
Stream is okay.,Moderate,720p,0.78
Amazing gameplay and no lag at all!,Very Poor,360p,0.94
"Loved the stream quality, keep it up!",Poor,1080p,0.78
"Nothing special, just another game.",Poor,360p,0.54
Stream kept freezing every few minutes.,Good,720p,0.29
"Too much buffering, not enjoyable.",Poor,1080p,0.17
Mediocre experience.,Poor,360p,0.54
"Loved the stream quality, keep it up!",Moderate,1080p,0.88
Stream kept freezing every few minutes.,Excellent,360p,0.3
"Could be better, could be worse.",Moderate,360p,0.72
"Loved the stream quality, keep it up!",Very Poor,1080p,0.95
"Nothing special, just another game.",Moderate,1080p,0.71
Stream kept freezing every few minutes.,Moderate,480p,0.11
Audio was off sync. Please fix!,Poor,720p,0.0
"Too much buffering, not enjoyable.",Poor,1080p,0.14
The video quality is poor.,Moderate,480p,0.06
"Loved the stream quality, keep it up!",Excellent,480p,0.71
Mediocre experience.,Excellent,360p,0.63
Stream kept freezing every few minutes.,Good,360p,0.28
"Nothing special, just another game.",Very Poor,1080p,0.67
Network is causing delays.,Good,720p,0.13
Decent audio but poor video.,Moderate,1080p,0.71
"Nothing special, just another game.",Poor,360p,0.79
Great commentary and visuals!,Moderate,480p,0.89
"Everything is perfect, thanks!",Very Poor,360p,0.85
Audio was off sync. Please fix!,Good,480p,0.17
Stream is okay.,Moderate,480p,0.51
Stream kept freezing every few minutes.,Very Poor,720p,0.26
Decent audio but poor video.,Poor,1080p,0.48
Decent audio but poor video.,Good,720p,0.63
Amazing gameplay and no lag at all!,Very Poor,1080p,0.89
Stream kept freezing every few minutes.,Poor,360p,0.36
Mediocre experience.,Excellent,360p,0.57
"Everything is perfect, thanks!",Very Poor,360p,0.9
Great commentary and visuals!,Excellent,480p,1.0
Stream is okay.,Good,720p,0.72
Amazing gameplay and no lag at all!,Moderate,360p,0.89
"Could be better, could be worse.",Excellent,480p,0.5
"Could be better, could be worse.",Excellent,480p,0.59
"Too much buffering, not enjoyable.",Moderate,1080p,0.23
Amazing gameplay and no lag at all!,Poor,1080p,0.92
The video quality is poor.,Good,360p,0.15
Stream is okay.,Very Poor,720p,0.65
Decent audio but poor video.,Excellent,480p,0.4
Great commentary and visuals!,Moderate,1080p,0.99
Amazing gameplay and no lag at all!,Good,480p,0.91
"Too much buffering, not enjoyable.",Very Poor,360p,0.17
"Everything is perfect, thanks!",Poor,480p,0.95
"Everything is perfect, thanks!",Excellent,720p,0.84
"Nothing special, just another game.",Moderate,360p,0.55
The video quality is poor.,Excellent,1080p,0.37
"Everything is perfect, thanks!",Very Poor,720p,0.93
The video quality is poor.,Moderate,1080p,0.06
The video quality is poor.,Poor,360p,0.32
"Too much buffering, not enjoyable.",Excellent,1080p,0.0
The video quality is poor.,Very Poor,720p,0.31
Great commentary and visuals!,Excellent,720p,0.86
"Loved the stream quality, keep it up!",Poor,360p,0.97
Audio was off sync. Please fix!,Very Poor,1080p,0.26
"Loved the stream quality, keep it up!",Good,360p,0.81
"Loved the stream quality, keep it up!",Excellent,360p,1.0
Stream is okay.,Poor,360p,0.77
Great commentary and visuals!,Very Poor,1080p,0.93
"Everything is perfect, thanks!",Poor,480p,0.9
Great commentary and visuals!,Excellent,360p,0.88
Mediocre experience.,Good,480p,0.57
"Nothing special, just another game.",Very Poor,360p,0.65
Amazing gameplay and no lag at all!,Good,720p,0.87
"Nothing special, just another game.",Moderate,360p,0.44
Audio was off sync. Please fix!,Moderate,360p,0.08
Stream kept freezing every few minutes.,Very Poor,1080p,0.13
Amazing gameplay and no lag at all!,Good,480p,0.88
Great commentary and visuals!,Very Poor,1080p,0.81
Network is causing delays.,Poor,360p,0.26
Stream kept freezing every few minutes.,Excellent,720p,0.08
Network is causing delays.,Excellent,1080p,0.15
Network is causing delays.,Moderate,720p,0.04
Audio was off sync. Please fix!,Excellent,480p,0.01
"Too much buffering, not enjoyable.",Moderate,360p,0.22
"Everything is perfect, thanks!",Moderate,720p,0.91
"Nothing special, just another game.",Good,1080p,0.61
I’m having a blast watching this!,Excellent,360p,0.87
Stream kept freezing every few minutes.,Very Poor,360p,0.46
"Loved the stream quality, keep it up!",Excellent,360p,0.78
"Too much buffering, not enjoyable.",Very Poor,720p,0.01
Audio was off sync. Please fix!,Very Poor,480p,0.11
"Too much buffering, not enjoyable.",Moderate,480p,0.15
Network is causing delays.,Poor,1080p,0.19
Audio was off sync. Please fix!,Poor,1080p,0.33
The video quality is poor.,Moderate,1080p,0.01
Network is causing delays.,Very Poor,360p,0.0
Stream kept freezing every few minutes.,Excellent,1080p,0.25
Mediocre experience.,Excellent,480p,0.51
"Everything is perfect, thanks!",Excellent,720p,0.96
I’m having a blast watching this!,Excellent,360p,0.84
Amazing gameplay and no lag at all!,Excellent,1080p,0.87
"Loved the stream quality, keep it up!",Moderate,1080p,1.0
"Loved the stream quality, keep it up!",Excellent,720p,0.95
"Everything is perfect, thanks!",Very Poor,720p,0.85
Network is causing delays.,Moderate,1080p,0.05
"Everything is perfect, thanks!",Good,480p,0.79
Stream kept freezing every few minutes.,Good,720p,0.32
Great commentary and visuals!,Poor,360p,0.93
Stream kept freezing every few minutes.,Poor,1080p,0.18
Great commentary and visuals!,Moderate,720p,0.93
"Nothing special, just another game.",Good,1080p,0.68
Mediocre experience.,Excellent,480p,0.64
"Could be better, could be worse.",Moderate,720p,0.78
Stream kept freezing every few minutes.,Moderate,360p,0.28
Amazing gameplay and no lag at all!,Poor,720p,0.79
Audio was off sync. Please fix!,Excellent,1080p,0.28
"Could be better, could be worse.",Good,480p,0.62
The video quality is poor.,Poor,480p,0.25
"Everything is perfect, thanks!",Good,360p,0.82
"Everything is perfect, thanks!",Excellent,360p,0.96
"Too much buffering, not enjoyable.",Very Poor,1080p,0.07
"Nothing special, just another game.",Excellent,1080p,0.75
Audio was off sync. Please fix!,Very Poor,480p,0.23
I’m having a blast watching this!,Good,480p,0.78
Stream kept freezing every few minutes.,Good,720p,0.03
Amazing gameplay and no lag at all!,Excellent,360p,0.94
Great commentary and visuals!,Moderate,360p,0.78
Stream kept freezing every few minutes.,Very Poor,480p,0.24
The video quality is poor.,Very Poor,1080p,0.05
"Everything is perfect, thanks!",Very Poor,480p,0.94
Amazing gameplay and no lag at all!,Poor,720p,0.86
Network is causing delays.,Poor,720p,0.11
"Too much buffering, not enjoyable.",Poor,360p,0.11
The video quality is poor.,Excellent,360p,0.26
Great commentary and visuals!,Poor,480p,0.87
Amazing gameplay and no lag at all!,Very Poor,360p,0.97
"Everything is perfect, thanks!",Poor,360p,0.86
Decent audio but poor video.,Excellent,360p,0.46
"Everything is perfect, thanks!",Poor,360p,0.9
"Too much buffering, not enjoyable.",Very Poor,360p,0.43
Stream kept freezing every few minutes.,Poor,480p,0.0
I’m having a blast watching this!,Excellent,360p,0.88
"Nothing special, just another game.",Excellent,360p,0.7
Great commentary and visuals!,Very Poor,1080p,0.86
The video quality is poor.,Moderate,480p,0.02
Audio was off sync. Please fix!,Good,360p,0.16
"Loved the stream quality, keep it up!",Poor,1080p,0.85
Amazing gameplay and no lag at all!,Moderate,720p,0.89
Network is causing delays.,Moderate,480p,0.15
Mediocre experience.,Poor,720p,0.79
Stream is okay.,Excellent,720p,0.48
Mediocre experience.,Excellent,720p,0.45
"Could be better, could be worse.",Good,480p,0.42
Network is causing delays.,Moderate,720p,0.26
The video quality is poor.,Moderate,480p,0.06
Stream kept freezing every few minutes.,Poor,480p,0.32
"Too much buffering, not enjoyable.",Moderate,720p,0.25
"Could be better, could be worse.",Good,720p,0.6
Amazing gameplay and no lag at all!,Very Poor,360p,0.69
Decent audio but poor video.,Very Poor,360p,0.74
The video quality is poor.,Excellent,1080p,0.19
Stream kept freezing every few minutes.,Excellent,720p,0.29
Amazing gameplay and no lag at all!,Poor,720p,0.97
Stream is okay.,Poor,720p,0.61
I’m having a blast watching this!,Excellent,720p,0.88
Network is causing delays.,Moderate,480p,0.4
Audio was off sync. Please fix!,Very Poor,480p,0.24
The video quality is poor.,Excellent,1080p,0.21
Amazing gameplay and no lag at all!,Excellent,1080p,0.77
I’m having a blast watching this!,Good,720p,0.81
Mediocre experience.,Very Poor,360p,0.41
"Could be better, could be worse.",Moderate,720p,0.64
Network is causing delays.,Poor,720p,0.31
Great commentary and visuals!,Moderate,480p,0.86
"Too much buffering, not enjoyable.",Excellent,1080p,0.34
The video quality is poor.,Poor,1080p,0.1
"Everything is perfect, thanks!",Excellent,360p,0.95
"Loved the stream quality, keep it up!",Excellent,720p,0.81
Network is causing delays.,Very Poor,720p,0.14
"Loved the stream quality, keep it up!",Poor,360p,0.99
The video quality is poor.,Very Poor,360p,0.19
"Too much buffering, not enjoyable.",Very Poor,720p,0.28
"Loved the stream quality, keep it up!",Good,360p,0.9
Network is causing delays.,Very Poor,1080p,0.17
I’m having a blast watching this!,Good,720p,0.85
Stream kept freezing every few minutes.,Excellent,480p,0.35
"Too much buffering, not enjoyable.",Excellent,360p,0.13
The video quality is poor.,Moderate,720p,0.0
"Too much buffering, not enjoyable.",Excellent,720p,0.05
"Loved the stream quality, keep it up!",Excellent,360p,0.98
Audio was off sync. Please fix!,Very Poor,1080p,0.09
The video quality is poor.,Moderate,480p,0.17
Stream kept freezing every few minutes.,Very Poor,720p,0.2
Mediocre experience.,Excellent,480p,0.7
Network is causing delays.,Moderate,720p,0.0
Amazing gameplay and no lag at all!,Good,360p,0.9
Great commentary and visuals!,Moderate,720p,0.98
The video quality is poor.,Moderate,720p,0.35
Network is causing delays.,Poor,480p,0.36
Stream is okay.,Very Poor,720p,0.61
"Could be better, could be worse.",Good,480p,0.51
Stream is okay.,Poor,480p,0.42
Great commentary and visuals!,Moderate,720p,0.94
"Nothing special, just another game.",Excellent,360p,0.53
"Loved the stream quality, keep it up!",Poor,720p,0.99
The video quality is poor.,Excellent,720p,0.29
Audio was off sync. Please fix!,Excellent,1080p,0.31
Great commentary and visuals!,Good,720p,0.94
"Could be better, could be worse.",Good,1080p,0.69
Great commentary and visuals!,Poor,1080p,0.83
Decent audio but poor video.,Very Poor,720p,0.78
"Everything is perfect, thanks!",Poor,480p,0.93
"Everything is perfect, thanks!",Very Poor,480p,0.96
"Too much buffering, not enjoyable.",Excellent,480p,0.07
I’m having a blast watching this!,Very Poor,1080p,0.78
The video quality is poor.,Very Poor,360p,0.24
Great commentary and visuals!,Moderate,1080p,1.0
"Too much buffering, not enjoyable.",Very Poor,720p,0.11
The video quality is poor.,Good,360p,0.22
I’m having a blast watching this!,Poor,720p,0.91
Amazing gameplay and no lag at all!,Very Poor,1080p,0.78
Great commentary and visuals!,Very Poor,720p,0.92
The video quality is poor.,Poor,360p,0.36
Audio was off sync. Please fix!,Poor,1080p,0.12
The video quality is poor.,Moderate,720p,0.1
Audio was off sync. Please fix!,Good,480p,0.37
Amazing gameplay and no lag at all!,Poor,360p,0.94
The video quality is poor.,Excellent,720p,0.13
Audio was off sync. Please fix!,Moderate,360p,0.14
"Could be better, could be worse.",Moderate,720p,0.62
"Everything is perfect, thanks!",Poor,1080p,0.86
I’m having a blast watching this!,Very Poor,1080p,0.82
Stream kept freezing every few minutes.,Poor,720p,0.31
I’m having a blast watching this!,Very Poor,360p,0.82
"Too much buffering, not enjoyable.",Very Poor,1080p,0.32
Amazing gameplay and no lag at all!,Good,720p,0.89
Mediocre experience.,Very Poor,360p,0.37
"Nothing special, just another game.",Excellent,1080p,0.58
Amazing gameplay and no lag at all!,Good,480p,0.84
"Too much buffering, not enjoyable.",Moderate,480p,0.17
Amazing gameplay and no lag at all!,Very Poor,1080p,0.96
"Nothing special, just another game.",Very Poor,720p,0.71
I’m having a blast watching this!,Good,1080p,0.98
"Could be better, could be worse.",Poor,720p,0.74
"Everything is perfect, thanks!",Excellent,360p,0.92
Great commentary and visuals!,Very Poor,1080p,0.75
I’m having a blast watching this!,Moderate,1080p,0.9
"Everything is perfect, thanks!",Excellent,480p,0.98
Decent audio but poor video.,Good,480p,0.43
Stream kept freezing every few minutes.,Excellent,360p,0.03
"Loved the stream quality, keep it up!",Very Poor,720p,0.94
"Too much buffering, not enjoyable.",Poor,720p,0.14
"Loved the stream quality, keep it up!",Good,1080p,0.88
Amazing gameplay and no lag at all!,Excellent,1080p,1.0
The video quality is poor.,Moderate,360p,0.36
I’m having a blast watching this!,Good,1080p,0.97
"Loved the stream quality, keep it up!",Very Poor,360p,0.83
Amazing gameplay and no lag at all!,Excellent,480p,0.84
"Too much buffering, not enjoyable.",Poor,360p,0.11
I’m having a blast watching this!,Very Poor,360p,0.88
Audio was off sync. Please fix!,Good,1080p,0.06
Network is causing delays.,Good,360p,0.47
"Too much buffering, not enjoyable.",Moderate,720p,0.07
"Everything is perfect, thanks!",Excellent,1080p,0.86
Amazing gameplay and no lag at all!,Poor,360p,1.0
"Too much buffering, not enjoyable.",Excellent,1080p,0.41
"Too much buffering, not enjoyable.",Poor,1080p,0.16
"Everything is perfect, thanks!",Very Poor,360p,0.96
"Too much buffering, not enjoyable.",Excellent,1080p,0.2
Mediocre experience.,Poor,480p,0.7
"Everything is perfect, thanks!",Poor,360p,0.86
"Nothing special, just another game.",Moderate,720p,0.48
"Nothing special, just another game.",Poor,1080p,0.4
Great commentary and visuals!,Poor,720p,0.88
"Everything is perfect, thanks!",Very Poor,720p,0.85
Mediocre experience.,Moderate,1080p,0.57
"Loved the stream quality, keep it up!",Poor,360p,0.9
"Nothing special, just another game.",Excellent,1080p,0.7
Great commentary and visuals!,Excellent,480p,1.0
Decent audio but poor video.,Very Poor,720p,0.48
Amazing gameplay and no lag at all!,Good,480p,0.81
"Too much buffering, not enjoyable.",Moderate,720p,0.07
"Everything is perfect, thanks!",Good,480p,0.94
Great commentary and visuals!,Good,1080p,0.92
Mediocre experience.,Excellent,360p,0.81
Audio was off sync. Please fix!,Moderate,480p,0.02
Audio was off sync. Please fix!,Moderate,1080p,0.09
Great commentary and visuals!,Poor,720p,0.78
Decent audio but poor video.,Good,360p,0.49
"Nothing special, just another game.",Moderate,360p,0.79
Great commentary and visuals!,Excellent,360p,0.89
"Everything is perfect, thanks!",Moderate,480p,0.82
Audio was off sync. Please fix!,Moderate,360p,0.37
Stream is okay.,Very Poor,480p,0.34
The video quality is poor.,Very Poor,720p,0.39
Network is causing delays.,Poor,360p,0.17
Amazing gameplay and no lag at all!,Good,1080p,0.97
Stream kept freezing every few minutes.,Good,1080p,0.24
Mediocre experience.,Poor,480p,0.43
Mediocre experience.,Excellent,1080p,0.49
"Nothing special, just another game.",Good,480p,0.66
I’m having a blast watching this!,Poor,480p,0.87
"Everything is perfect, thanks!",Excellent,720p,0.88
Mediocre experience.,Good,1080p,0.45
"Everything is perfect, thanks!",Excellent,480p,0.89
Mediocre experience.,Excellent,720p,0.49
Amazing gameplay and no lag at all!,Very Poor,480p,0.95
"Everything is perfect, thanks!",Good,720p,0.83
The video quality is poor.,Good,720p,0.17
"Loved the stream quality, keep it up!",Poor,480p,0.92
"Loved the stream quality, keep it up!",Excellent,1080p,0.91
"Everything is perfect, thanks!",Poor,360p,0.79
Stream kept freezing every few minutes.,Good,480p,0.14
"Loved the stream quality, keep it up!",Poor,1080p,0.96
"Everything is perfect, thanks!",Good,1080p,0.91
"Everything is perfect, thanks!",Excellent,720p,1.0
"Everything is perfect, thanks!",Excellent,360p,0.81
The video quality is poor.,Excellent,480p,0.22
Network is causing delays.,Moderate,360p,0.12
"Everything is perfect, thanks!",Very Poor,1080p,0.88
"Everything is perfect, thanks!",Very Poor,1080p,0.93
Stream kept freezing every few minutes.,Good,720p,0.27
The video quality is poor.,Very Poor,720p,0.4
"Loved the stream quality, keep it up!",Good,720p,1.0
Stream is okay.,Moderate,360p,0.76
Decent audio but poor video.,Very Poor,480p,0.51
"Everything is perfect, thanks!",Moderate,1080p,1.0
Stream is okay.,Poor,720p,0.62
"Loved the stream quality, keep it up!",Good,360p,0.89
"Loved the stream quality, keep it up!",Poor,1080p,1.0
The video quality is poor.,Excellent,720p,0.18
Audio was off sync. Please fix!,Moderate,360p,0.14
Stream kept freezing every few minutes.,Moderate,720p,0.15
I’m having a blast watching this!,Very Poor,720p,0.85
Decent audio but poor video.,Good,720p,0.62
I’m having a blast watching this!,Moderate,480p,0.96
Network is causing delays.,Good,720p,0.29
Mediocre experience.,Excellent,720p,0.65
"Loved the stream quality, keep it up!",Excellent,720p,0.87
Audio was off sync. Please fix!,Poor,480p,0.21
Decent audio but poor video.,Moderate,480p,0.6
"Nothing special, just another game.",Moderate,360p,0.74
"Too much buffering, not enjoyable.",Poor,1080p,0.35
Network is causing delays.,Good,1080p,0.05
The video quality is poor.,Very Poor,480p,0.16
"Loved the stream quality, keep it up!",Good,1080p,1.0
"Too much buffering, not enjoyable.",Excellent,480p,0.28
Stream kept freezing every few minutes.,Moderate,360p,0.14
Great commentary and visuals!,Very Poor,480p,0.82
The video quality is poor.,Poor,1080p,0.02
The video quality is poor.,Excellent,360p,0.18
"Too much buffering, not enjoyable.",Moderate,720p,0.0
Audio was off sync. Please fix!,Very Poor,480p,0.13
Amazing gameplay and no lag at all!,Poor,1080p,0.83
"Loved the stream quality, keep it up!",Excellent,1080p,0.87
Amazing gameplay and no lag at all!,Moderate,360p,0.8
Audio was off sync. Please fix!,Very Poor,480p,0.36
I’m having a blast watching this!,Very Poor,360p,0.95
I’m having a blast watching this!,Excellent,1080p,1.0
"Could be better, could be worse.",Moderate,1080p,0.64
Great commentary and visuals!,Very Poor,720p,0.93
Great commentary and visuals!,Moderate,1080p,0.79
Great commentary and visuals!,Very Poor,720p,0.92
"Nothing special, just another game.",Moderate,1080p,0.43
"Everything is perfect, thanks!",Excellent,480p,0.71
Great commentary and visuals!,Excellent,1080p,0.84
"Too much buffering, not enjoyable.",Poor,720p,0.22
"Everything is perfect, thanks!",Very Poor,1080p,0.79
Audio was off sync. Please fix!,Poor,720p,0.2
Network is causing delays.,Poor,480p,0.06
Stream is okay.,Excellent,480p,0.56
Stream is okay.,Excellent,720p,0.49
"Loved the stream quality, keep it up!",Poor,720p,0.97
"Loved the stream quality, keep it up!",Poor,360p,1.0
"Everything is perfect, thanks!",Moderate,1080p,0.78
Audio was off sync. Please fix!,Excellent,360p,0.27
Network is causing delays.,Poor,1080p,0.1
Network is causing delays.,Poor,360p,0.08
Audio was off sync. Please fix!,Excellent,720p,0.35
Network is causing delays.,Very Poor,360p,0.03
Stream is okay.,Moderate,1080p,0.64
Network is causing delays.,Good,1080p,0.29
"Could be better, could be worse.",Good,720p,0.67
"Everything is perfect, thanks!",Poor,1080p,0.86
The video quality is poor.,Good,720p,0.0
Audio was off sync. Please fix!,Excellent,720p,0.32
Stream kept freezing every few minutes.,Poor,360p,0.03
"Loved the stream quality, keep it up!",Very Poor,360p,0.89
Stream kept freezing every few minutes.,Poor,360p,0.2
I’m having a blast watching this!,Good,480p,0.94
Amazing gameplay and no lag at all!,Good,360p,0.83
Network is causing delays.,Excellent,720p,0.42
Amazing gameplay and no lag at all!,Poor,360p,0.94
